Name,Price,ReviewRatio,TotalReviews,Genres
Cash Horse - Match 3 Puzzle Adventure,0,0.8,30,"Action,Adventure,Casual"
Vengeful Heart,0,0.9259,27,"Adventure,Casual,Indie"
Hunt the Thailand Hidden,0,0.8333,12,Casual
Agross,0,0.4118,17,"Casual,Indie,Simulation"
Manga Maker Comipo,80,0.7639,758,"Animation & Modeling,Design & Illustration,Web Publishing"
POG 4,0,0.625,16,"Adventure,Casual,Indie,Simulation,Strategy"
Amusement Park Simulator,0,0.9032,31,Simulation
Hoser Hockey,0,0.7391,46,"Action,Indie,Simulation,Sports"
Amber's Airline - 7 Wonders,0,0.9101,89,Casual
Amberskull,0,0.8333,90,"Violent,Action,Indie"
Luxor: 5th Passage,0,0.6723,119,"Action,Adventure,Casual"
Stream to 3D,0,0.5357,28,"Utilities,Video Production"
Playing History: Vikings,95,0.7054,112,"Adventure,Indie,RPG"
Alien Blitz,0,0.7333,30,"Action,Indie"
Princess Isabella,0,0.7673,159,Adventure
Xaphan - Battle Simulator,0,0.5833,12,"Action,Indie,Simulation,Free To Play"
Prelude for a Dream,0,0.6923,13,"Adventure,RPG"
Euphoria: Supreme Mechanics,0,0.7299,137,"Adventure,Casual,Indie,Simulation,Strategy"
Strangers of the Power,0,0.8333,36,"Casual,Indie,RPG"
Dead Dust,0,0.6883,77,"Action,Adventure,Indie"
Astro Lords,0,0.6574,216,"Indie,Massively Multiplayer,Strategy,Free To Play"
The madness of death,0,0.8235,34,"Action,Adventure"
Crawl,0,0.948,7039,"Action,Indie,RPG"
Fhtagn Simulator,0,0.9046,524,"Casual,Indie,Simulation,Strategy"
Project Pulsation,0,0.7074,376,"Action,Adventure"
One Night: Burlesque,0,0.8571,35,"Adventure,Casual,Indie,Simulation"
Kuchisake Onna - 口裂け女,0,0.7069,58,"Adventure,Indie"
Thirty Years' War,75,0.6531,49,"Simulation,Strategy"
Deep Despair 2,75,0.7841,88,"Adventure,Indie,RPG,Simulation"
Galactic Gallery,0,0.8846,26,"Casual,Indie,Simulation"
DAMAGE CONTROL,0,0.4333,30,"Action,Indie,Simulation,Early Access"
Trine 4: The Nightmare Prince,80,0.8912,13379,"Action,Adventure,Indie"
Monopolka,51,0.5946,37,"Casual,Indie,Massively Multiplayer"
HunieCam Studio,0,0.8746,6260,"Indie,Simulation"
Shotgun Cop Man,40,0.9691,259,"Action,Indie"
Mewseum: Masterpieces,70,0.9773,44,"Casual,Indie,Strategy"
Graywalkers: Purgatory,0,0.5882,34,"Adventure,Indie,RPG,Strategy,Early Access"
Magic Tower,0,0.725,40,"Indie,RPG,Strategy,Early Access"
Ironguard,0,0.5,10,"Action,Indie"
Wargame Construction Set III: Age of Rifles 1846-1905,50,0.9545,22,"Simulation,Strategy"
Armada 2526,0,0.5429,35,Strategy
TOKYO GHOUL:re [CALL to EXIST],84,0.7055,2469,Action
Interstellar Space: Genesis,67,0.8394,772,"Indie,Strategy"
Rich Taste of Ecchi,95,0.7,20,"Adventure,Casual,Indie,RPG"
Book of Travels,0,0.7948,2003,"Action,Adventure,Indie,Massively Multiplayer,RPG,Early Access"
House of 1000 Doors: Family Secrets,0,0.9539,152,"Adventure,Casual,Indie"
Bare Metal,0,0.8571,91,"Free To Play,Indie,Simulation,Strategy"
My Life as a Robot Vacuum,55,1.0,18,Indie
Bang Bang Fruit,51,0.5785,242,"Casual,Indie"
筮灵 SHILING,0,0.749,259,"Adventure,Casual,Indie,RPG,Strategy"
The Territory of Egg,80,0.9792,48,"Action,Indie,Strategy"
Super Hardcore,0,0.5,40,"Action,Adventure,Casual,Indie,Strategy"
Cyber Sentinel,0,0.881,42,Indie
Time to Strike,0,0.8718,39,Action
Nine Witches: Family Disruption,0,0.9141,291,"Action,Adventure,Indie"
Inversion™,85,0.6205,664,Action
You Have To Climb Out,0,0.9636,55,Indie
Rescue HQ - The Tycoon,0,0.7963,874,"Casual,Indie,Simulation,Strategy"
Aery - Cyber City,0,0.8125,16,"Casual,Indie,Simulation"
Super Hipster Lumberjack,0,0.7732,441,Indie
The Fear of The Past,0,0.4545,22,"Action,Adventure,Casual,Indie,Free To Play"
Bloody Night Cult,75,0.5625,16,Indie
Guild Commander,75,0.4845,97,"Indie,RPG,Simulation,Strategy"
sphereFACE,28,0.9062,32,"Action,Casual,Indie,Simulation"
Black Swan,0,0.2597,77,"Adventure,Casual"
Light Tracer 2 ~The Two Worlds~,0,0.7,20,"Action,Adventure,Indie,RPG"
OutBreak Zombie,77,0.2,10,Action
Streamer's Court,55,0.9333,15,"Casual,Indie"
The Artifact,0,0.6456,206,Indie
Racer 8,0,0.452,1312,"Casual,Racing"
The Dragons' Twilight,50,0.9464,56,RPG
Duke of Alpha Centauri,95,0.7738,526,"Action,Casual,Indie"
Tiger Tank 59 Ⅰ,0,0.4,10,"Action,Indie,Strategy"
Liftoff®: FPV Drone Racing,0,0.9485,11107,"Indie,Racing,Simulation,Sports"
Unium,40,0.9361,313,"Casual,Indie,Strategy"
Project Remedium,90,0.3137,153,"Action,Adventure,Indie"
IL-2 Sturmovik: Cliffs of Dover,0,0.6667,1002,Simulation
Battlegun,0,0.6803,269,"Action,Casual,Indie,Massively Multiplayer"
Ultimate Racing 2D,70,0.8781,525,"Action,Casual,Indie,Racing,Simulation,Sports"
Crazy Appliances 疯狂电器,0,1.0,15,"Action,Indie,Early Access"
Death Education,0,0.7143,28,"Adventure,Indie"
Panic In The Woods,90,0.7941,102,"Action,Casual"
Phantasie Memorial Set,0,0.7273,22,RPG
HexON,51,0.7143,77,"Casual,Strategy"
Rending Sky,0,0.4286,49,"Action,Adventure,Indie,RPG"
Sudden Strike 4,0,0.7798,7815,Strategy
Cosmic DJ,80,0.8797,1056,"Casual,Indie"
The Slingshot VR,0,0.4091,22,"Action,Casual,Indie,Simulation"
Restrictr,0,0.8571,14,Utilities
BloodRayne Betrayal: Fresh Bites,0,0.6857,105,Action
Marvel's Guardians of the Galaxy,85,0.9412,39158,"Action,Adventure"
Mad Tracks,90,0.8814,253,Racing
Block Busters,0,0.7576,33,"Action,Casual,Free To Play,Indie"
Space Jones VR,0,0.6818,22,Indie
Summer in Mara,0,0.7557,1932,"Adventure,Casual,Indie,RPG,Simulation"
Paradise Lost,70,0.642,2377,"Adventure,Indie"
My Bakery Empire,75,0.3571,14,"Casual,Simulation"
Amazing Superhero Squad,0,0.6667,36,"Adventure,Indie,Strategy"
Close Combat 2: A Bridge Too Far,40,0.9375,32,Strategy
Primordials: Battle of Gods,0,0.4444,72,Strategy
LEGO® Bricktales,85,0.8624,1366,"Adventure,Casual,Simulation"
The Count of Monte Carlo,0,1.0,10,RPG
Ashley Clark: The Secrets of the Ancient Temple,0,0.625,64,"Adventure,Casual,Indie"
WARMA,0,0.5419,227,"Action,Adventure,Indie,Massively Multiplayer,Racing,RPG,Simulation,Early Access"
Back To Life 2,80,0.3,10,Indie
ЕСТЬ ДВА СТУЛА,51,0.8665,1843,Simulation
Topac Battle,0,0.6364,22,Simulation
Resident Evil Revelations,75,0.8062,15205,"Action,Adventure"
Cyberpong,0,0.8649,111,"Action,Casual,Sports"
Crab Cakes Rescue,87,0.6957,115,"Casual,Indie"
Lodestone - The crazy cave adventures of mad Stony Tony and his encounter with the exploding rolling stones,0,0.8611,36,"Action,Adventure,Free To Play,Indie"
Castlewatch,0,0.9231,13,"Action,Indie,Strategy"
ASTRA : Era Of Anguish,0,0.9,10,"Adventure,RPG"
Epic Conquest 2,0,0.8406,389,"Action,Indie,RPG,Early Access"
F-19 Stealth Fighter,0,0.8989,89,Simulation
Zombie Arena,0,0.7143,70,"Action,Adventure,Indie,Early Access"
Endless Knight,85,0.9231,52,"Action,Indie"
Ad Infinitum,85,0.803,934,"Action,Adventure"
The Way,94,0.8324,1265,"Action,Adventure,Indie"
